Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.app.App,33504000,3.35.5-1,en,OP515BL1,2024-02-16T10:21:09Z,1713394517000,2024-02-16T10:21:09Z,1713394517000,1,,"The archive function is broken, it either doesn’t save the mails or saves them incorrectly.",2024-04-17T16:12:22Z,1708060944000,Necessary source couple American out administration.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.6-0,en,OP515BL1,2024-03-07T11:01:42Z,1708285243000,2024-03-07T11:01:42Z,1708285243000,4,Help,Dålig support,2024-02-12T02:32:39Z,1705891824000,Speak meet feel million half work pay respond here.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.5-1,sv,SM-G991B,2024-01-06T15:07:26Z,1712312185000,2024-01-06T15:07:26Z,1712312185000,3,,"PDF attachments often fail to open, showing 'error' messages. Needs urgent attention",2024-04-17T23:15:47Z,1708307282000,Individual statement stop suggest tree wide dream.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.4-3,en,SM-G991B,2024-05-05T10:20:32Z,1712060711000,2024-05-05T10:20:32Z,1712060711000,2,,Funktionell men långsam,2024-05-03T09:02:23Z,1710362856000,Single force performance now participant key pretty worker show hard.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.5-1,sv,SM-G991B,2024-04-01T12:29:37Z,1712226331000,2024-04-01T12:29:37Z,1712226331000,3,,"The app’s layout is confusing, especially for new users. A simpler interface would be better",2024-04-11T21:48:26Z,1709189755000,Machine until room reflect easy.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.5-1,en,SM-G991B,2024-01-27T19:30:38Z,1706837460000,2024-01-27T19:30:38Z,1706837460000,5,,Bästa appen jag vet,2024-01-12T13:45:05Z,1707913036000,Once along five lose suggest discuss want make look.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.6-0,sv,Pixel 5,2024-02-15T14:35:05Z,1707503833000,2024-02-15T14:35:05Z,1707503833000,1,,Email sorting doesn’t work properly. I receive new emails at the bottom of the list instead of the top,2024-02-25T14:45:09Z,1714610773000,News little book try meeting kitchen by from inside my.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.6-0,en,OP515BL1,2024-04-04T00:51:16Z,1705230719000,2024-04-04T00:51:16Z,1705230719000,1,,Förvirrande,2024-05-05T19:53:05Z,1709082183000,Subject answer serve list student ahead.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.4-3,en,Pixel 5,2024-01-20T03:54:17Z,1712452308000,2024-01-20T03:54:17Z,1712452308000,4,,"Two-factor authentication setup is overly complicated and buggy. ",2024-01-10T00:05:24Z,1706661647000,Sing yes over give standard top will hold sell.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.4-3,en,SM-G991B,2024-03-18T04:38:25Z,1707819907000,2024-03-18T04:38:25Z,1707819907000,3,,Gränssnittsbuggar,2024-03-23T02:17:33Z,1713404361000,Box either air international list gun pull like.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.5-1,en,OP515BL1,2024-01-16T21:11:08Z,1707641625000,2024-01-16T21:11:08Z,1707641625000,3,,Attachments sometimes get corrupted when downloaded through the app. Not reliable for important documents,2024-03-07T16:52:05Z,1710809595000,Hotel spend campaign attention shake.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.5-1,en,OP515BL1,2024-04-17T22:36:07Z,1706780544000,2024-04-17T22:36:07Z,1706780544000,2,Mad,Irriterande buggar.,2024-03-27T05:45:21Z,1704162331000,Sometimes charge defense inside inside movie.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.4-3,sv,Pixel 5,2024-01-29T22:40:03Z,1713889296000,2024-01-29T22:40:03Z,1713889296000,3,,"The app doesn’t always save settings changes, forcing me to redo them every time I log in",2024-02-11T02:20:11Z,1710051296000,Where myself nature through administration painting admit rather.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.5-1,en,Pixel 5,2024-03-12T01:53:35Z,1707906068000,2024-03-12T01:53:35Z,1707906068000,1,,Fungerar dåligt,2024-02-10T01:24:45Z,1714947311000,First market people help level law determine.,http://play.google.com/fakelink/developers
com.app.App,33504001,3.35.6-0,sv,Pixel 5,2024-04-16T13:37:00Z,1704678941000,2024-04-16T13:37:00Z,1704678941000,2,,"Language settings revert to default after updates, which is annoying.",2024-04-02T05:34:04Z,1713555302000,Management several change improve as interest project.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.4-3,en,Pixel 5,2024-03-25T09:57:07Z,1713332663000,2024-03-25T09:57:07Z,1713332663000,2,,Komplicerat,2024-03-12T18:39:02Z,1704250175000,Late possible pick fall become.,http://play.google.com/fakelink/developers
com.app.App,33504000,3.35.6-0,sv,OP515BL1,2024-04-14T22:09:45Z,1709247072000,2024-04-14T22:09:45Z,1709247072000,2,,Search function is very hit or miss. Often it fails to find documents I know are there.,2024-03-01T07:06:30Z,1709832646000,Rather outside expert central investment boy sort deal mission similar.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.4-3,sv,OP515BL1,2024-01-07T18:27:06Z,1709524176000,2024-01-07T18:27:06Z,1709524176000,2,,Inte användarvänlig,2024-02-01T18:28:40Z,1712935876000,Finally effort course interest place environment daughter weight.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.6-0,en,OP515BL1,2024-01-16T23:24:44Z,1709194868000,2024-01-16T23:24:44Z,1709194868000,1,,The color scheme is harsh and difficult to look at for long periods. A darker mode option would be appreciated,2024-03-10T14:02:26Z,1714339514000,Hand act production above need.,http://play.google.com/fakelink/developers
com.app.App,33504002,3.35.5-1,sv,Pixel 5,2024-04-01T08:31:45Z,1711644315000,2024-04-01T08:31:45Z,1711644315000,1,,The email forwarding feature sometimes sends emails to the wrong address. This could be disastrous,2024-03-28T18:13:28Z,1706765638000,Main study decade impact form maintain thus sort hope follow.,http://play.google.com/fakelink/developers
